# Selection     : patch(inlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	sum(phi)
1               	-1.00000000e-01
2               	-1.00000000e-01
3               	-1.00000000e-01
4               	-1.00000000e-01
5               	-1.00000000e-01
6               	-1.00000000e-01
7               	-1.00000000e-01
8               	-1.00000000e-01
9               	-1.00000000e-01
10              	-1.00000000e-01
11              	-1.00000000e-01
12              	-1.00000000e-01
13              	-1.00000000e-01
14              	-1.00000000e-01
15              	-1.00000000e-01
16              	-1.00000000e-01
17              	-1.00000000e-01
18              	-1.00000000e-01
19              	-1.00000000e-01
20              	-1.00000000e-01
