# Selection     : patch(inlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	average(phi)	average(U)	average(p)
0               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	0.00000000e+00
0.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.02322605e+02
0.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.56479901e+00
0.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.34021579e+00
0.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.13575970e+00
0.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.96248849e+00
0.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.81344154e+00
0.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.68426923e+00
0.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.57165189e+00
0.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.47296778e+00
0.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.38610151e+00
0.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.30932368e+00
0.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.24120715e+00
0.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.18056566e+00
0.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.12640371e+00
0.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.07788079e+00
0.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.03428429e+00
0.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.99500748e+00
0.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.95953155e+00
0.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.92741124e+00
1               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.89826234e+00
1.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.87175248e+00
1.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.84759255e+00
1.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.82552992e+00
1.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.80534375e+00
1.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.78682980e+00
1.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76984792e+00
1.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.75421728e+00
