# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
0               	0.00000000e+00	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0.05            	2.02440478e+02	(1.01871183e+00 2.96773746e-02 0.00000000e+00)
0.1             	3.68758614e+00	(1.04190975e+00 4.00069990e-02 0.00000000e+00)
0.15            	3.47311696e+00	(1.05760661e+00 5.34200019e-02 0.00000000e+00)
0.2             	3.27272391e+00	(1.07211841e+00 6.74546397e-02 0.00000000e+00)
0.25            	3.10231960e+00	(1.08575477e+00 7.83025054e-02 0.00000000e+00)
0.3             	2.95538905e+00	(1.09866896e+00 8.63099913e-02 0.00000000e+00)
0.35            	2.82778738e+00	(1.11097710e+00 9.19749339e-02 0.00000000e+00)
0.4             	2.71633484e+00	(1.12276785e+00 9.58214081e-02 0.00000000e+00)
0.45            	2.61851257e+00	(1.13410774e+00 9.83271919e-02 0.00000000e+00)
0.5             	2.53228338e+00	(1.14525419e+00 1.00824263e-01 0.00000000e+00)
0.55            	2.45597750e+00	(1.15597502e+00 1.04215761e-01 0.00000000e+00)
0.6             	2.38821286e+00	(1.16626464e+00 1.06700554e-01 0.00000000e+00)
0.65            	2.32783652e+00	(1.17616691e+00 1.08491835e-01 0.00000000e+00)
0.7             	2.27387749e+00	(1.18571930e+00 1.09767708e-01 0.00000000e+00)
0.75            	2.22551301e+00	(1.19501348e+00 1.10669657e-01 0.00000000e+00)
0.8             	2.18204295e+00	(1.20398412e+00 1.11305531e-01 0.00000000e+00)
0.85            	2.14286924e+00	(1.21265323e+00 1.11754744e-01 0.00000000e+00)
0.9             	2.10747895e+00	(1.22104418e+00 1.12074147e-01 0.00000000e+00)
0.95            	2.07543085e+00	(1.22921295e+00 1.12303585e-01 0.00000000e+00)
1               	2.04634341e+00	(1.23711173e+00 1.12470595e-01 0.00000000e+00)
1.05            	2.01988614e+00	(1.24476284e+00 1.12594097e-01 0.00000000e+00)
1.1             	1.99577133e+00	(1.25216958e+00 1.12687124e-01 0.00000000e+00)
