# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)
0               	0.00000000e+00
0.05            	2.02440478e+02
0.1             	3.68758614e+00
0.15            	3.47311696e+00
0.2             	3.27272391e+00
0.25            	3.10231960e+00
0.3             	2.95538905e+00
0.35            	2.82778738e+00
0.4             	2.71633484e+00
0.45            	2.61851257e+00
0.5             	2.53228338e+00
0.55            	2.45597750e+00
0.6             	2.38821286e+00
0.65            	2.32783652e+00
0.7             	2.27387749e+00
0.75            	2.22551301e+00
0.8             	2.18204295e+00
0.85            	2.14286924e+00
0.9             	2.10747895e+00
0.95            	2.07543085e+00
1               	2.04634341e+00
1.05            	2.01988614e+00
1.1             	1.99577133e+00
1.15            	1.97374734e+00
1.2             	1.95359414e+00
1.25            	1.93510843e+00
1.3             	1.91815005e+00
1.35            	1.90253927e+00
1.4             	1.88815336e+00
1.45            	1.87487490e+00
1.5             	1.86259978e+00
1.55            	1.85123529e+00
1.6             	1.84069905e+00
1.65            	1.83091727e+00
1.7             	1.82182426e+00
1.75            	1.81336100e+00
1.8             	1.80547461e+00
1.85            	1.79811754e+00
1.9             	1.79124693e+00
1.95            	1.78482414e+00
2               	1.77881422e+00
2.05            	1.77317507e+00
2.1             	1.76790815e+00
2.15            	1.76295842e+00
2.2             	1.75831145e+00
2.25            	1.75394541e+00
2.3             	1.74984057e+00
2.35            	1.74597884e+00
2.4             	1.74234363e+00
2.45            	1.73891968e+00
2.5             	1.73569300e+00
2.55            	1.73265070e+00
2.6             	1.72978091e+00
2.65            	1.72707265e+00
2.7             	1.72451579e+00
2.75            	1.72210093e+00
2.8             	1.71981938e+00
2.85            	1.71766307e+00
2.9             	1.71562449e+00
2.95            	1.71369508e+00
3               	1.71187151e+00
3.05            	1.71014627e+00
3.1             	1.70851358e+00
3.15            	1.70696818e+00
3.2             	1.70550513e+00
3.25            	1.70411981e+00
3.3             	1.70280790e+00
3.35            	1.70156535e+00
3.4             	1.70038837e+00
3.45            	1.69927338e+00
3.5             	1.69821702e+00
3.55            	1.69721617e+00
3.6             	1.69626784e+00
3.65            	1.69536925e+00
3.7             	1.69451775e+00
3.75            	1.69371089e+00
3.8             	1.69294632e+00
3.85            	1.69222183e+00
3.9             	1.69153197e+00
3.95            	1.69088456e+00
