# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	min(p)
0               	0.00000000e+00
0.05            	1.01820977e+00
0.1             	2.30313896e-02
0.15            	1.64739625e-02
0.2             	1.60400713e-02
0.25            	1.50755436e-02
0.3             	1.41784648e-02
0.35            	1.33627822e-02
0.4             	1.26502633e-02
0.45            	1.20303218e-02
0.5             	1.14952964e-02
0.55            	1.10269688e-02
0.6             	1.06064193e-02
0.65            	1.02432855e-02
0.7             	9.92863760e-03
0.75            	9.65298202e-03
0.8             	9.40873978e-03
0.85            	9.18979784e-03
0.9             	8.99149214e-03
0.95            	8.81016095e-03
1               	8.64324698e-03
1.05            	8.48876278e-03
1.1             	8.34537872e-03
1.15            	8.21174527e-03
1.2             	8.08705330e-03
1.25            	7.97052460e-03
1.3             	7.86152444e-03
1.35            	7.76007836e-03
1.4             	7.66554577e-03
1.45            	7.57733731e-03
1.5             	7.49491012e-03
1.55            	7.41775931e-03
1.6             	7.34544078e-03
1.65            	7.27754415e-03
1.7             	7.21369371e-03
1.75            	7.15356798e-03
1.8             	7.09686485e-03
1.85            	7.04332911e-03
1.9             	6.99272158e-03
1.95            	6.94482805e-03
2               	6.89945611e-03
2.05            	6.85618631e-03
2.1             	6.81549532e-03
2.15            	6.77672096e-03
2.2             	6.73984333e-03
2.25            	6.70475524e-03
2.3             	6.67134421e-03
2.35            	6.63950763e-03
2.4             	6.60915199e-03
2.45            	6.58019097e-03
2.5             	6.55254365e-03
2.55            	6.52613615e-03
2.6             	6.50089890e-03
2.65            	6.47676840e-03
2.7             	6.45368508e-03
2.75            	6.43159398e-03
2.8             	6.41044356e-03
2.85            	6.39018580e-03
2.9             	6.37077592e-03
2.95            	6.35214067e-03
3               	6.33430308e-03
3.05            	6.31719610e-03
3.1             	6.30078534e-03
3.15            	6.28503739e-03
3.2             	6.26992136e-03
3.25            	6.25540829e-03
3.3             	6.24147087e-03
3.35            	6.22808332e-03
3.4             	6.21522156e-03
3.45            	6.20286216e-03
3.5             	6.19098330e-03
3.55            	6.17956473e-03
3.6             	6.16858665e-03
3.65            	6.15803051e-03
3.7             	6.14787858e-03
3.75            	6.13811407e-03
3.8             	6.12872091e-03
3.85            	6.11968405e-03
3.9             	6.11120301e-03
3.95            	6.10272407e-03
4               	6.09466466e-03
4.05            	6.08690738e-03
4.1             	6.07944424e-03
4.15            	6.07225992e-03
4.2             	6.06534288e-03
4.25            	6.05868278e-03
4.3             	6.05226948e-03
4.35            	6.04609346e-03
4.4             	6.04014584e-03
4.45            	6.03441770e-03
4.5             	6.02890026e-03
4.55            	6.02358721e-03
4.6             	6.01846927e-03
4.65            	6.01353969e-03
4.7             	6.00879058e-03
4.75            	6.00421539e-03
4.8             	5.99980769e-03
4.85            	5.99556128e-03
4.9             	5.99146983e-03
4.95            	5.98752795e-03
5               	5.98372976e-03
5.05            	5.98006989e-03
5.1             	5.97654327e-03
5.15            	5.97314492e-03
5.2             	5.96987008e-03
5.25            	5.96671424e-03
5.3             	5.96367295e-03
5.35            	5.96074198e-03
5.4             	5.95791728e-03
5.45            	5.95518524e-03
5.5             	5.95256742e-03
5.55            	5.95003960e-03
5.6             	5.94760260e-03
5.65            	5.94525297e-03
5.7             	5.94298834e-03
5.75            	5.94080604e-03
5.8             	5.93870197e-03
5.85            	5.93667417e-03
5.9             	5.93471939e-03
5.95            	5.93283568e-03
6               	5.93101977e-03
6.05            	5.92926941e-03
6.1             	5.92758220e-03
6.15            	5.92595582e-03
6.2             	5.92438809e-03
6.25            	5.92287687e-03
6.3             	5.92142002e-03
6.35            	5.92001565e-03
6.4             	5.91866220e-03
6.45            	5.91735738e-03
6.5             	5.91552911e-03
6.55            	5.91487694e-03
6.6             	5.91351305e-03
6.65            	5.91233794e-03
6.7             	5.91145338e-03
6.75            	5.91025637e-03
6.8             	5.90928673e-03
6.85            	5.90841983e-03
6.9             	5.90730364e-03
6.95            	5.90659882e-03
7               	5.90568200e-03
7.05            	5.90464814e-03
7.1             	5.90414899e-03
7.15            	5.90312298e-03
7.2             	5.90242990e-03
7.25            	5.90187825e-03
7.3             	5.90118178e-03
7.35            	5.90031957e-03
7.4             	5.89983448e-03
7.45            	5.89914300e-03
7.5             	5.89862054e-03
7.55            	5.89795128e-03
7.6             	5.89749661e-03
7.65            	5.89697083e-03
7.7             	5.89651245e-03
7.75            	5.89585812e-03
7.8             	5.89551631e-03
7.85            	5.89501455e-03
7.9             	5.89464894e-03
7.95            	5.89416269e-03
8               	5.89384094e-03
8.05            	5.89344977e-03
8.1             	5.89301568e-03
8.15            	5.89280435e-03
8.2             	5.89237643e-03
8.25            	5.89208791e-03
8.3             	5.89186330e-03
8.35            	5.89148576e-03
8.4             	5.89127958e-03
8.45            	5.89106378e-03
8.5             	5.89075648e-03
8.55            	5.89058716e-03
8.6             	5.89039473e-03
8.65            	5.89015710e-03
8.7             	5.89000947e-03
8.75            	5.88984626e-03
8.8             	5.88966668e-03
8.85            	5.88953932e-03
8.9             	5.88940526e-03
8.95            	5.88926308e-03
9               	5.88916749e-03
9.05            	5.88906032e-03
9.1             	5.88895135e-03
9.15            	5.88888281e-03
9.2             	5.88880060e-03
9.25            	5.88872023e-03
9.3             	5.88867456e-03
9.35            	5.88861463e-03
9.4             	5.88861463e-03
9.45            	5.88847426e-03
9.5             	5.88853031e-03
9.55            	5.88843612e-03
9.6             	5.88843622e-03
9.65            	5.88841758e-03
9.7             	5.88841758e-03
9.75            	5.88841482e-03
9.8             	5.88841042e-03
9.85            	5.88833643e-03
9.9             	5.88839002e-03
9.95            	5.88839002e-03
10              	5.88841852e-03
10.05           	5.88839812e-03
10.1            	5.88838301e-03
10.15           	5.88842812e-03
10.2            	5.88842812e-03
10.25           	5.88847329e-03
10.3            	5.88846101e-03
10.35           	5.88845343e-03
10.4            	5.88845343e-03
10.45           	5.88856732e-03
10.5            	5.88853232e-03
10.55           	5.88851335e-03
10.6            	5.88851335e-03
10.65           	5.88861429e-03
10.7            	5.88859672e-03
10.75           	5.88859672e-03
10.8            	5.88860281e-03
10.85           	5.88863385e-03
10.9            	5.88865158e-03
10.95           	5.88865158e-03
11              	5.88869468e-03
11.05           	5.88869753e-03
11.1            	5.88869753e-03
11.15           	5.88870479e-03
11.2            	5.88870479e-03
11.25           	5.88874306e-03
11.3            	5.88876442e-03
11.35           	5.88876170e-03
11.4            	5.88876170e-03
11.45           	5.88876125e-03
11.5            	5.88876125e-03
11.55           	5.88878870e-03
11.6            	5.88881301e-03
11.65           	5.88881301e-03
11.7            	5.88880578e-03
11.75           	5.88880825e-03
11.8            	5.88881622e-03
11.85           	5.88881622e-03
11.9            	5.88884043e-03
11.95           	5.88884043e-03
12              	5.88883412e-03
12.05           	5.88883254e-03
12.1            	5.88883753e-03
12.15           	5.88883753e-03
12.2            	5.88885717e-03
12.25           	5.88885184e-03
12.3            	5.88885184e-03
12.35           	5.88883249e-03
12.4            	5.88883932e-03
12.45           	5.88883932e-03
12.5            	5.88887288e-03
12.55           	5.88886695e-03
12.6            	5.88885786e-03
12.65           	5.88885786e-03
12.7            	5.88884254e-03
12.75           	5.88885655e-03
12.8            	5.88885655e-03
12.85           	5.88886570e-03
12.9            	5.88886172e-03
12.95           	5.88886172e-03
13              	5.88884349e-03
13.05           	5.88885037e-03
13.1            	5.88885037e-03
13.15           	5.88886967e-03
13.2            	5.88886967e-03
13.25           	5.88886052e-03
13.3            	5.88885595e-03
13.35           	5.88885595e-03
