# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	minMag(U)
0               	0.00000000e+00
0.05            	8.52783596e-01
0.1             	8.42074849e-01
0.15            	8.10930061e-01
0.2             	7.63952869e-01
0.25            	7.22265158e-01
0.3             	6.85185517e-01
0.35            	6.52065197e-01
0.4             	6.22591061e-01
0.45            	5.96296083e-01
0.5             	5.72778163e-01
0.55            	5.51614887e-01
0.6             	5.32420686e-01
0.65            	5.15101926e-01
0.7             	4.99443798e-01
0.75            	4.85264048e-01
0.8             	4.72408598e-01
0.85            	4.60747146e-01
0.9             	4.50156559e-01
0.95            	4.40433039e-01
1               	4.31574346e-01
1.05            	4.23510602e-01
1.1             	4.16111135e-01
1.15            	4.09283873e-01
1.2             	4.03053322e-01
1.25            	3.97280579e-01
1.3             	3.91950214e-01
1.35            	3.87029615e-01
1.4             	3.82438916e-01
1.45            	3.78172365e-01
1.5             	3.74193674e-01
1.55            	3.70445977e-01
1.6             	3.66936407e-01
1.65            	3.63630163e-01
1.7             	3.60506644e-01
1.75            	3.57551220e-01
1.8             	3.54752558e-01
1.85            	3.52101072e-01
1.9             	3.49588049e-01
1.95            	3.47204263e-01
2               	3.44942860e-01
2.05            	3.42796772e-01
2.1             	3.40758770e-01
2.15            	3.38821996e-01
2.2             	3.36980065e-01
2.25            	3.35227046e-01
2.3             	3.33557623e-01
2.35            	3.31966746e-01
2.4             	3.30449748e-01
2.45            	3.29002316e-01
2.5             	3.27620463e-01
2.55            	3.26300496e-01
2.6             	3.25038992e-01
2.65            	3.23832772e-01
2.7             	3.22678879e-01
2.75            	3.21574566e-01
2.8             	3.20517268e-01
2.85            	3.19504592e-01
2.9             	3.18534297e-01
2.95            	3.17604290e-01
3               	3.16712604e-01
3.05            	3.15857399e-01
3.1             	3.15036941e-01
3.15            	3.14249603e-01
3.2             	3.13493856e-01
3.25            	3.12768257e-01
3.3             	3.12071442e-01
3.35            	3.11402124e-01
3.4             	3.10759086e-01
3.45            	3.10141177e-01
3.5             	3.09547308e-01
3.55            	3.08976443e-01
3.6             	3.08427604e-01
3.65            	3.07899859e-01
3.7             	3.07392324e-01
3.75            	3.06904159e-01
3.8             	3.06434563e-01
3.85            	3.05982776e-01
3.9             	3.05547986e-01
3.95            	3.05129681e-01
4               	3.04727098e-01
4.05            	3.04339621e-01
4.1             	3.03966647e-01
4.15            	3.03607601e-01
4.2             	3.03261934e-01
4.25            	3.02929123e-01
4.3             	3.02608665e-01
4.35            	3.02300081e-01
4.4             	3.02002912e-01
4.45            	3.01716717e-01
4.5             	3.01441075e-01
4.55            	3.01175582e-01
4.6             	3.00919852e-01
4.65            	3.00673513e-01
4.7             	3.00436209e-01
4.75            	3.00207599e-01
4.8             	2.99987355e-01
4.85            	2.99775163e-01
4.9             	2.99570720e-01
4.95            	2.99373737e-01
5               	2.99183935e-01
5.05            	2.99001047e-01
5.1             	2.98824815e-01
5.15            	2.98654992e-01
5.2             	2.98491342e-01
5.25            	2.98333635e-01
5.3             	2.98181652e-01
5.35            	2.98035182e-01
5.4             	2.97894023e-01
5.45            	2.97757952e-01
5.5             	2.97626830e-01
5.55            	2.97500458e-01
5.6             	2.97378657e-01
5.65            	2.97261262e-01
5.7             	2.97148113e-01
5.75            	2.97039052e-01
5.8             	2.96933932e-01
5.85            	2.96832608e-01
5.9             	2.96734942e-01
5.95            	2.96640801e-01
6               	2.96550057e-01
6.05            	2.96462586e-01
6.1             	2.96378270e-01
6.15            	2.96296994e-01
6.2             	2.96218647e-01
6.25            	2.96143124e-01
6.3             	2.96070322e-01
6.35            	2.96000143e-01
6.4             	2.95932493e-01
6.45            	2.95867279e-01
6.5             	2.95804194e-01
6.55            	2.95743655e-01
6.6             	2.95685173e-01
6.65            	2.95628820e-01
6.7             	2.95574557e-01
6.75            	2.95522176e-01
6.8             	2.95471730e-01
6.85            	2.95423115e-01
6.9             	2.95376191e-01
6.95            	2.95331027e-01
7               	2.95287466e-01
7.05            	2.95245429e-01
7.1             	2.95205022e-01
7.15            	2.95165953e-01
7.2             	2.95128339e-01
7.25            	2.95092160e-01
7.3             	2.95057268e-01
7.35            	2.95023502e-01
7.4             	2.94991072e-01
7.45            	2.94959771e-01
7.5             	2.94929656e-01
7.55            	2.94900598e-01
7.6             	2.94872630e-01
7.65            	2.94845704e-01
7.7             	2.94819778e-01
7.75            	2.94794698e-01
7.8             	2.94770638e-01
7.85            	2.94747434e-01
7.9             	2.94725139e-01
7.95            	2.94703637e-01
8               	2.94682969e-01
8.05            	2.94663106e-01
8.1             	2.94643933e-01
8.15            	2.94625576e-01
8.2             	2.94607888e-01
8.25            	2.94590863e-01
8.3             	2.94574575e-01
8.35            	2.94558882e-01
8.4             	2.94543816e-01
8.45            	2.94529406e-01
8.5             	2.94515543e-01
8.55            	2.94502262e-01
8.6             	2.94489565e-01
8.65            	2.94477372e-01
8.7             	2.94465717e-01
8.75            	2.94454585e-01
8.8             	2.94443918e-01
8.85            	2.94433744e-01
8.9             	2.94424041e-01
8.95            	2.94414764e-01
9               	2.94405937e-01
9.05            	2.94397535e-01
9.1             	2.94389520e-01
9.15            	2.94381915e-01
9.2             	2.94374693e-01
9.25            	2.94367822e-01
9.3             	2.94361320e-01
9.35            	2.94355161e-01
9.4             	2.94349348e-01
9.45            	2.94343788e-01
9.5             	2.94338613e-01
9.55            	2.94333677e-01
9.6             	2.94329045e-01
9.65            	2.94324681e-01
9.7             	2.94320566e-01
9.75            	2.94316746e-01
9.8             	2.94313147e-01
9.85            	2.94309713e-01
9.9             	2.94306545e-01
9.95            	2.94303561e-01
10              	2.94300824e-01
10.05           	2.94298238e-01
10.1            	2.94295808e-01
10.15           	2.94293577e-01
10.2            	2.94291477e-01
10.25           	2.94289572e-01
10.3            	2.94287786e-01
10.35           	2.94286112e-01
10.4            	2.94284539e-01
10.45           	2.94283191e-01
10.5            	2.94281898e-01
10.55           	2.94280677e-01
10.6            	2.94279530e-01
10.65           	2.94278567e-01
10.7            	2.94277648e-01
10.75           	2.94276783e-01
10.8            	2.94275993e-01
10.85           	2.94275288e-01
10.9            	2.94274651e-01
10.95           	2.94274053e-01
11              	2.94273537e-01
11.05           	2.94273061e-01
11.1            	2.94272616e-01
11.15           	2.94272217e-01
11.2            	2.94271845e-01
11.25           	2.94271537e-01
11.3            	2.94271261e-01
11.35           	2.94271008e-01
11.4            	2.94270768e-01
11.45           	2.94270555e-01
11.5            	2.94270353e-01
11.55           	2.94270186e-01
11.6            	2.94270055e-01
11.65           	2.94269931e-01
11.7            	2.94269817e-01
11.75           	2.94269709e-01
11.8            	2.94269619e-01
11.85           	2.94269535e-01
11.9            	2.94269473e-01
11.95           	2.94269415e-01
12              	2.94269358e-01
12.05           	2.94269304e-01
12.1            	2.94269264e-01
12.15           	2.94269226e-01
12.2            	2.94269201e-01
12.25           	2.94269174e-01
12.3            	2.94269150e-01
12.35           	2.94269118e-01
12.4            	2.94269089e-01
12.45           	2.94269061e-01
12.5            	2.94269061e-01
12.55           	2.94269063e-01
12.6            	2.94269055e-01
12.65           	2.94269046e-01
12.7            	2.94269026e-01
12.75           	2.94269016e-01
12.8            	2.94269007e-01
12.85           	2.94269021e-01
12.9            	2.94269026e-01
12.95           	2.94269024e-01
13              	2.94269016e-01
13.05           	2.94269003e-01
13.1            	2.94268991e-01
13.15           	2.94269008e-01
13.2            	2.94269017e-01
13.25           	2.94269013e-01
13.3            	2.94269010e-01
13.35           	2.94269007e-01
13.4            	2.94269002e-01
13.45           	2.94268997e-01
13.5            	2.94269011e-01
13.55           	2.94269009e-01
13.6            	2.94269008e-01
13.65           	2.94269004e-01
13.7            	2.94268999e-01
13.75           	2.94269003e-01
13.8            	2.94269006e-01
13.85           	2.94269007e-01
13.9            	2.94269008e-01
13.95           	2.94269005e-01
14              	2.94269002e-01
14.05           	2.94269007e-01
14.1            	2.94269015e-01
14.15           	2.94269022e-01
14.2            	2.94269020e-01
14.25           	2.94269015e-01
14.3            	2.94269008e-01
14.35           	2.94269005e-01
14.4            	2.94269002e-01
14.45           	2.94269014e-01
14.5            	2.94269013e-01
14.55           	2.94269012e-01
14.6            	2.94269005e-01
14.65           	2.94268997e-01
14.7            	2.94268990e-01
14.75           	2.94269005e-01
14.8            	2.94269013e-01
14.85           	2.94269015e-01
14.9            	2.94269011e-01
14.95           	2.94269004e-01
15              	2.94268998e-01
15.05           	2.94268995e-01
15.1            	2.94269008e-01
15.15           	2.94269014e-01
15.2            	2.94269012e-01
15.25           	2.94269010e-01
15.3            	2.94269002e-01
15.35           	2.94269001e-01
15.4            	2.94269000e-01
15.45           	2.94268999e-01
15.5            	2.94268998e-01
15.55           	2.94268998e-01
15.6            	2.94268998e-01
15.65           	2.94268999e-01
15.7            	2.94269008e-01
15.75           	2.94269003e-01
15.8            	2.94269000e-01
15.85           	2.94268996e-01
15.9            	2.94268998e-01
15.95           	2.94268997e-01
16              	2.94268997e-01
16.05           	2.94268996e-01
16.1            	2.94268999e-01
16.15           	2.94269002e-01
16.2            	2.94269004e-01
16.25           	2.94269005e-01
16.3            	2.94269005e-01
16.35           	2.94269007e-01
16.4            	2.94269010e-01
16.45           	2.94269011e-01
