# Selection     : patch(outlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	sum(phi)
0               	0.00000000e+00
0.05            	1.00000915e-01
0.1             	9.99997809e-02
0.15            	1.00000003e-01
0.2             	9.99999933e-02
0.25            	9.99999963e-02
0.3             	9.99999959e-02
0.35            	9.99999947e-02
0.4             	9.99999937e-02
0.45            	9.99999930e-02
0.5             	9.99999926e-02
0.55            	9.99999926e-02
0.6             	9.99999928e-02
0.65            	9.99999931e-02
0.7             	9.99999936e-02
0.75            	9.99999940e-02
0.8             	9.99999944e-02
0.85            	9.99999949e-02
0.9             	9.99999953e-02
0.95            	9.99999956e-02
1               	9.99999960e-02
1.05            	9.99999963e-02
1.1             	9.99999967e-02
1.15            	9.99999970e-02
1.2             	9.99999973e-02
1.25            	1.00000001e-01
1.3             	1.00000002e-01
1.35            	1.00000002e-01
1.4             	1.00000002e-01
1.45            	1.00000003e-01
1.5             	1.00000003e-01
1.55            	1.00000003e-01
1.6             	1.00000002e-01
1.65            	1.00000002e-01
1.7             	1.00000002e-01
1.75            	1.00000002e-01
1.8             	1.00000002e-01
1.85            	1.00000002e-01
1.9             	1.00000002e-01
1.95            	1.00000002e-01
2               	1.00000002e-01
2.05            	9.99999838e-02
2.1             	9.99999847e-02
2.15            	9.99999857e-02
2.2             	9.99999865e-02
2.25            	9.99999872e-02
2.3             	9.99999879e-02
2.35            	9.99999886e-02
2.4             	9.99999892e-02
2.45            	9.99999898e-02
2.5             	9.99999903e-02
2.55            	9.99999908e-02
2.6             	9.99999913e-02
2.65            	9.99999917e-02
2.7             	9.99999921e-02
2.75            	9.99999925e-02
2.8             	9.99999929e-02
2.85            	9.99999932e-02
2.9             	9.99999936e-02
2.95            	9.99999937e-02
3               	9.99999940e-02
3.05            	9.99999943e-02
3.1             	9.99999946e-02
3.15            	9.99999949e-02
3.2             	9.99999951e-02
3.25            	9.99999953e-02
3.3             	9.99999956e-02
3.35            	9.99999958e-02
3.4             	9.99999960e-02
3.45            	9.99999961e-02
3.5             	9.99999963e-02
3.55            	9.99999965e-02
3.6             	9.99999967e-02
3.65            	9.99999968e-02
3.7             	9.99999970e-02
3.75            	9.99999971e-02
3.8             	9.99999972e-02
3.85            	9.99999974e-02
3.9             	1.00000019e-01
3.95            	1.00000018e-01
4               	1.00000017e-01
4.05            	1.00000017e-01
4.1             	1.00000016e-01
4.15            	1.00000016e-01
4.2             	1.00000015e-01
4.25            	1.00000014e-01
4.3             	1.00000014e-01
4.35            	1.00000013e-01
4.4             	1.00000013e-01
4.45            	1.00000012e-01
4.5             	1.00000012e-01
4.55            	1.00000011e-01
4.6             	1.00000011e-01
4.65            	1.00000010e-01
4.7             	1.00000010e-01
4.75            	1.00000010e-01
4.8             	1.00000009e-01
4.85            	1.00000009e-01
4.9             	1.00000009e-01
4.95            	1.00000008e-01
5               	1.00000008e-01
5.05            	1.00000008e-01
5.1             	1.00000007e-01
5.15            	1.00000007e-01
5.2             	1.00000007e-01
5.25            	1.00000006e-01
5.3             	1.00000006e-01
5.35            	1.00000006e-01
5.4             	1.00000006e-01
5.45            	1.00000005e-01
5.5             	1.00000005e-01
5.55            	1.00000005e-01
5.6             	1.00000005e-01
5.65            	1.00000004e-01
5.7             	1.00000004e-01
5.75            	1.00000004e-01
5.8             	1.00000004e-01
5.85            	1.00000004e-01
5.9             	1.00000003e-01
5.95            	1.00000003e-01
6               	1.00000003e-01
6.05            	1.00000003e-01
6.1             	1.00000003e-01
6.15            	1.00000003e-01
6.2             	1.00000003e-01
6.25            	1.00000002e-01
6.3             	1.00000002e-01
6.35            	1.00000002e-01
6.4             	1.00000002e-01
6.45            	1.00000002e-01
6.5             	9.99999671e-02
6.55            	9.99999864e-02
6.6             	9.99999774e-02
6.65            	9.99999768e-02
6.7             	9.99999848e-02
6.75            	9.99999777e-02
6.8             	9.99999815e-02
6.85            	9.99999859e-02
6.9             	9.99999780e-02
6.95            	9.99999871e-02
7               	9.99999860e-02
7.05            	9.99999786e-02
7.1             	9.99999953e-02
7.15            	9.99999810e-02
7.2             	9.99999867e-02
7.25            	9.99999983e-02
7.3             	9.99999992e-02
7.35            	9.99999857e-02
7.4             	9.99999907e-02
7.45            	9.99999872e-02
7.5             	9.99999922e-02
7.55            	9.99999874e-02
7.6             	9.99999921e-02
7.65            	9.99999954e-02
7.7             	9.99999997e-02
7.75            	9.99999889e-02
7.8             	9.99999936e-02
7.85            	9.99999906e-02
7.9             	9.99999960e-02
7.95            	9.99999907e-02
8               	9.99999964e-02
8.05            	9.99999977e-02
8.1             	9.99999908e-02
8.15            	1.00000003e-01
8.2             	9.99999956e-02
8.25            	9.99999942e-02
8.3             	1.00000003e-01
8.35            	9.99999943e-02
8.4             	9.99999965e-02
8.45            	1.00000002e-01
8.5             	9.99999941e-02
8.55            	9.99999980e-02
8.6             	1.00000001e-01
8.65            	9.99999944e-02
8.7             	9.99999987e-02
8.75            	1.00000000e-01
8.8             	9.99999948e-02
8.85            	9.99999991e-02
8.9             	9.99999995e-02
8.95            	9.99999953e-02
9               	9.99999994e-02
9.05            	9.99999992e-02
9.1             	9.99999958e-02
9.15            	9.99999997e-02
9.2             	9.99999990e-02
9.25            	9.99999964e-02
9.3             	9.99999999e-02
9.35            	9.99999989e-02
9.4             	1.00000002e-01
9.45            	9.99999933e-02
9.5             	1.00000003e-01
9.55            	9.99999983e-02
9.6             	9.99999971e-02
9.65            	9.99999995e-02
9.7             	9.99999958e-02
9.75            	1.00000002e-01
9.8             	1.00000000e-01
9.85            	9.99999987e-02
9.9             	1.00000001e-01
9.95            	9.99999987e-02
10              	1.00000000e-01
10.05           	9.99999992e-02
10.1            	9.99999992e-02
10.15           	1.00000000e-01
10.2            	9.99999980e-02
10.25           	9.99999990e-02
10.3            	1.00000000e-01
10.35           	9.99999992e-02
10.4            	9.99999942e-02
10.45           	1.00000001e-01
10.5            	1.00000000e-01
10.55           	9.99999998e-02
10.6            	9.99999939e-02
10.65           	1.00000001e-01
10.7            	9.99999991e-02
10.75           	9.99999976e-02
10.8            	9.99999979e-02
10.85           	9.99999991e-02
10.9            	9.99999989e-02
10.95           	9.99999974e-02
11              	9.99999984e-02
11.05           	9.99999992e-02
11.1            	9.99999975e-02
11.15           	9.99999989e-02
11.2            	9.99999968e-02
11.25           	9.99999983e-02
11.3            	9.99999985e-02
11.35           	9.99999995e-02
11.4            	9.99999980e-02
11.45           	9.99999995e-02
11.5            	9.99999977e-02
11.55           	9.99999988e-02
11.6            	9.99999987e-02
11.65           	9.99999997e-02
11.7            	9.99999992e-02
11.75           	1.00000000e-01
11.8            	9.99999999e-02
11.85           	9.99999999e-02
11.9            	9.99999990e-02
11.95           	1.00000000e-01
12              	9.99999989e-02
12.05           	1.00000000e-01
12.1            	1.00000000e-01
12.15           	1.00000001e-01
12.2            	9.99999991e-02
12.25           	9.99999993e-02
12.3            	9.99999987e-02
12.35           	1.00000000e-01
12.4            	1.00000000e-01
12.45           	1.00000000e-01
12.5            	9.99999993e-02
12.55           	9.99999992e-02
12.6            	1.00000000e-01
12.65           	9.99999991e-02
12.7            	1.00000001e-01
12.75           	9.99999995e-02
12.8            	1.00000001e-01
12.85           	9.99999991e-02
12.9            	1.00000000e-01
12.95           	9.99999996e-02
13              	1.00000001e-01
13.05           	9.99999997e-02
13.1            	9.99999994e-02
13.15           	9.99999996e-02
13.2            	9.99999996e-02
13.25           	1.00000000e-01
13.3            	9.99999996e-02
13.35           	9.99999994e-02
13.4            	9.99999998e-02
13.45           	1.00000000e-01
13.5            	9.99999996e-02
13.55           	1.00000000e-01
13.6            	9.99999996e-02
13.65           	1.00000000e-01
13.7            	9.99999996e-02
13.75           	9.99999998e-02
13.8            	9.99999999e-02
13.85           	9.99999999e-02
13.9            	1.00000000e-01
13.95           	1.00000000e-01
14              	1.00000000e-01
14.05           	1.00000000e-01
14.1            	1.00000000e-01
14.15           	9.99999998e-02
14.2            	1.00000001e-01
14.25           	1.00000000e-01
14.3            	9.99999998e-02
14.35           	1.00000000e-01
14.4            	1.00000000e-01
14.45           	9.99999997e-02
14.5            	1.00000000e-01
14.55           	1.00000000e-01
14.6            	1.00000000e-01
14.65           	9.99999996e-02
14.7            	9.99999999e-02
14.75           	9.99999996e-02
14.8            	1.00000000e-01
14.85           	1.00000000e-01
14.9            	1.00000000e-01
14.95           	9.99999998e-02
15              	9.99999997e-02
15.05           	9.99999996e-02
15.1            	9.99999999e-02
15.15           	9.99999999e-02
15.2            	1.00000000e-01
15.25           	1.00000000e-01
15.3            	9.99999998e-02
15.35           	1.00000000e-01
15.4            	1.00000000e-01
15.45           	1.00000000e-01
15.5            	1.00000000e-01
15.55           	9.99999996e-02
15.6            	9.99999988e-02
15.65           	9.99999983e-02
15.7            	1.00000001e-01
15.75           	9.99999999e-02
15.8            	9.99999997e-02
15.85           	9.99999992e-02
15.9            	1.00000000e-01
15.95           	9.99999999e-02
16              	9.99999995e-02
16.05           	9.99999994e-02
16.1            	9.99999999e-02
16.15           	9.99999999e-02
16.2            	9.99999996e-02
16.25           	9.99999998e-02
16.3            	9.99999997e-02
16.35           	9.99999999e-02
16.4            	9.99999998e-02
16.45           	9.99999999e-02
16.5            	1.00000000e-01
16.55           	1.00000000e-01
16.6            	1.00000000e-01
16.65           	1.00000000e-01
16.7            	1.00000000e-01
16.75           	1.00000000e-01
16.8            	1.00000001e-01
16.85           	1.00000000e-01
16.9            	1.00000000e-01
16.95           	1.00000000e-01
17              	1.00000000e-01
17.05           	9.99999999e-02
17.1            	9.99999994e-02
17.15           	9.99999996e-02
17.2            	9.99999997e-02
17.25           	9.99999997e-02
17.3            	1.00000000e-01
17.35           	1.00000000e-01
17.4            	1.00000000e-01
17.45           	1.00000000e-01
17.5            	1.00000000e-01
17.55           	1.00000000e-01
17.6            	1.00000000e-01
17.65           	1.00000000e-01
17.7            	1.00000000e-01
17.75           	1.00000000e-01
17.8            	9.99999998e-02
17.85           	9.99999997e-02
17.9            	9.99999998e-02
17.95           	9.99999998e-02
18              	9.99999999e-02
18.05           	1.00000000e-01
18.1            	1.00000000e-01
18.15           	1.00000000e-01
18.2            	1.00000000e-01
18.25           	1.00000000e-01
18.3            	1.00000000e-01
18.35           	1.00000000e-01
18.4            	1.00000000e-01
18.45           	1.00000000e-01
18.5            	9.99999999e-02
18.55           	9.99999996e-02
18.6            	1.00000000e-01
18.65           	1.00000000e-01
18.7            	1.00000000e-01
18.75           	9.99999999e-02
18.8            	9.99999998e-02
18.85           	9.99999996e-02
18.9            	9.99999997e-02
18.95           	9.99999999e-02
19              	1.00000000e-01
19.05           	1.00000000e-01
19.1            	1.00000000e-01
19.15           	1.00000000e-01
19.2            	1.00000000e-01
19.25           	1.00000000e-01
19.3            	1.00000000e-01
19.35           	1.00000000e-01
19.4            	1.00000000e-01
19.45           	1.00000000e-01
19.5            	1.00000000e-01
19.55           	9.99999999e-02
19.6            	9.99999999e-02
19.65           	9.99999998e-02
19.7            	9.99999998e-02
19.75           	9.99999998e-02
19.8            	9.99999997e-02
19.85           	9.99999998e-02
19.9            	9.99999998e-02
19.95           	9.99999998e-02
20              	9.99999998e-02
