# Selection     : patch(outlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	max(U)	max(p)
0               	(0.00000000e+00 0.00000000e+00 0.00000000e+00)	0.00000000e+00
0.05            	(1.01775435e+00 2.73881599e-04 0.00000000e+00)	0.00000000e+00
0.1             	(1.03791070e+00 1.77116883e-03 0.00000000e+00)	0.00000000e+00
0.15            	(1.05296094e+00 1.62230956e-03 0.00000000e+00)	0.00000000e+00
0.2             	(1.06780349e+00 1.26439683e-03 0.00000000e+00)	0.00000000e+00
0.25            	(1.08209594e+00 9.20279579e-04 0.00000000e+00)	0.00000000e+00
0.3             	(1.09574550e+00 6.45855243e-04 0.00000000e+00)	0.00000000e+00
0.35            	(1.10875786e+00 4.44765618e-04 0.00000000e+00)	0.00000000e+00
0.4             	(1.12117009e+00 3.08880597e-04 0.00000000e+00)	0.00000000e+00
0.45            	(1.13302792e+00 2.22988727e-04 0.00000000e+00)	0.00000000e+00
0.5             	(1.14437595e+00 1.81101953e-04 0.00000000e+00)	0.00000000e+00
0.55            	(1.15525633e+00 1.51232991e-04 0.00000000e+00)	0.00000000e+00
0.6             	(1.16570548e+00 1.29618768e-04 0.00000000e+00)	0.00000000e+00
0.65            	(1.17575621e+00 1.14645967e-04 0.00000000e+00)	0.00000000e+00
0.7             	(1.18543738e+00 1.04888968e-04 0.00000000e+00)	0.00000000e+00
0.75            	(1.19477427e+00 9.49867295e-05 0.00000000e+00)	0.00000000e+00
0.8             	(1.20378909e+00 8.42793719e-05 0.00000000e+00)	0.00000000e+00
0.85            	(1.21250119e+00 7.28313843e-05 0.00000000e+00)	0.00000000e+00
0.9             	(1.22092747e+00 6.11530772e-05 0.00000000e+00)	0.00000000e+00
0.95            	(1.22908256e+00 4.99163435e-05 0.00000000e+00)	0.00000000e+00
1               	(1.23697930e+00 3.96453948e-05 0.00000000e+00)	0.00000000e+00
1.05            	(1.24462895e+00 3.07440306e-05 0.00000000e+00)	0.00000000e+00
1.1             	(1.25204153e+00 2.32518426e-05 0.00000000e+00)	0.00000000e+00
1.15            	(1.25922582e+00 1.72487259e-05 0.00000000e+00)	0.00000000e+00
1.2             	(1.26618985e+00 1.26416642e-05 0.00000000e+00)	0.00000000e+00
1.25            	(1.27294091e+00 9.37293575e-06 0.00000000e+00)	0.00000000e+00
1.3             	(1.27948562e+00 7.26918884e-06 0.00000000e+00)	0.00000000e+00
1.35            	(1.28583020e+00 5.78298298e-06 0.00000000e+00)	0.00000000e+00
1.4             	(1.29198050e+00 4.73971506e-06 0.00000000e+00)	0.00000000e+00
1.45            	(1.29794205e+00 3.99879866e-06 0.00000000e+00)	0.00000000e+00
1.5             	(1.30372009e+00 3.45408485e-06 0.00000000e+00)	0.00000000e+00
1.55            	(1.30931969e+00 3.03024755e-06 0.00000000e+00)	0.00000000e+00
1.6             	(1.31474571e+00 2.67817646e-06 0.00000000e+00)	0.00000000e+00
1.65            	(1.32000284e+00 2.36959089e-06 0.00000000e+00)	0.00000000e+00
1.7             	(1.32509564e+00 2.09185469e-06 0.00000000e+00)	0.00000000e+00
1.75            	(1.33002854e+00 1.84190211e-06 0.00000000e+00)	0.00000000e+00
1.8             	(1.33480587e+00 1.61617472e-06 0.00000000e+00)	0.00000000e+00
1.85            	(1.33943183e+00 1.41377663e-06 0.00000000e+00)	0.00000000e+00
1.9             	(1.34391053e+00 1.23447673e-06 0.00000000e+00)	0.00000000e+00
1.95            	(1.34824600e+00 1.07986497e-06 0.00000000e+00)	0.00000000e+00
2               	(1.35244219e+00 9.49003646e-07 0.00000000e+00)	0.00000000e+00
2.05            	(1.35650278e+00 8.41406077e-07 0.00000000e+00)	0.00000000e+00
2.1             	(1.36043189e+00 7.54401156e-07 0.00000000e+00)	0.00000000e+00
2.15            	(1.36423307e+00 6.85037125e-07 0.00000000e+00)	0.00000000e+00
2.2             	(1.36790994e+00 6.30304514e-07 0.00000000e+00)	0.00000000e+00
2.25            	(1.37146606e+00 5.87094743e-07 0.00000000e+00)	0.00000000e+00
2.3             	(1.37490494e+00 5.52488749e-07 0.00000000e+00)	0.00000000e+00
2.35            	(1.37822998e+00 5.24058692e-07 0.00000000e+00)	0.00000000e+00
2.4             	(1.38144455e+00 4.99857419e-07 0.00000000e+00)	0.00000000e+00
2.45            	(1.38455192e+00 4.78423387e-07 0.00000000e+00)	0.00000000e+00
2.5             	(1.38755531e+00 4.58713877e-07 0.00000000e+00)	0.00000000e+00
2.55            	(1.39045785e+00 4.40033330e-07 0.00000000e+00)	0.00000000e+00
2.6             	(1.39326262e+00 4.21988573e-07 0.00000000e+00)	0.00000000e+00
2.65            	(1.39597263e+00 4.04381238e-07 0.00000000e+00)	0.00000000e+00
2.7             	(1.39859079e+00 3.87155271e-07 0.00000000e+00)	0.00000000e+00
2.75            	(1.40111997e+00 3.70327326e-07 0.00000000e+00)	0.00000000e+00
2.8             	(1.40356297e+00 3.53956148e-07 0.00000000e+00)	0.00000000e+00
2.85            	(1.40592250e+00 3.38121999e-07 0.00000000e+00)	0.00000000e+00
2.9             	(1.40820122e+00 3.22889297e-07 0.00000000e+00)	0.00000000e+00
2.95            	(1.41040171e+00 3.09908855e-07 0.00000000e+00)	0.00000000e+00
3               	(1.41252649e+00 2.98144726e-07 0.00000000e+00)	0.00000000e+00
3.05            	(1.41457800e+00 2.86910666e-07 0.00000000e+00)	0.00000000e+00
3.1             	(1.41655862e+00 2.75900609e-07 0.00000000e+00)	0.00000000e+00
3.15            	(1.41847067e+00 2.65015829e-07 0.00000000e+00)	0.00000000e+00
3.2             	(1.42031641e+00 2.54236447e-07 0.00000000e+00)	0.00000000e+00
3.25            	(1.42209802e+00 2.43604908e-07 0.00000000e+00)	0.00000000e+00
3.3             	(1.42381762e+00 2.33193604e-07 0.00000000e+00)	0.00000000e+00
3.35            	(1.42547728e+00 2.23083632e-07 0.00000000e+00)	0.00000000e+00
3.4             	(1.42707900e+00 2.13339092e-07 0.00000000e+00)	0.00000000e+00
3.45            	(1.42862472e+00 2.04024549e-07 0.00000000e+00)	0.00000000e+00
3.5             	(1.43011633e+00 1.95183241e-07 0.00000000e+00)	0.00000000e+00
3.55            	(1.43155565e+00 1.86836806e-07 0.00000000e+00)	0.00000000e+00
3.6             	(1.43294445e+00 1.78976197e-07 0.00000000e+00)	0.00000000e+00
3.65            	(1.43428446e+00 1.71582130e-07 0.00000000e+00)	0.00000000e+00
3.7             	(1.43557732e+00 1.64626590e-07 0.00000000e+00)	0.00000000e+00
3.75            	(1.43682466e+00 1.58075602e-07 0.00000000e+00)	0.00000000e+00
3.8             	(1.43802803e+00 1.51900890e-07 0.00000000e+00)	0.00000000e+00
3.85            	(1.43918894e+00 1.46056682e-07 0.00000000e+00)	0.00000000e+00
3.9             	(1.44030904e+00 1.32875372e-07 0.00000000e+00)	0.00000000e+00
3.95            	(1.44138935e+00 1.22145905e-07 0.00000000e+00)	0.00000000e+00
4               	(1.44243143e+00 1.10201509e-07 0.00000000e+00)	0.00000000e+00
