#             x             U_x             U_y             U_z
            0.1       1.0068043  -4.3368087e-19               0
            0.2       1.0250399  -4.2557441e-35               0
            0.3       1.0516157   8.6736174e-19               0
            0.4       1.0826921  -3.0357661e-18               0
            0.5       1.1144262  -1.3010426e-18               0
            0.6       1.1446876   2.1684043e-18               0
            0.7       1.1727507  -4.3368087e-19               0
            0.8       1.1984204   4.3368087e-19               0
            0.9       1.2216173   4.3368087e-19               0
              1       1.2423666   -3.469447e-18               0
            1.1       1.2608398    3.469447e-18               0
            1.2       1.2773105  -3.0357661e-18               0
            1.3       1.2920733   5.6378513e-18               0
            1.4       1.3053891  -2.8189256e-18               0
            1.5       1.3174705  -2.3852448e-18               0
            1.6        1.328488   1.9515639e-18               0
            1.7       1.3385793   1.0900343e-31               0
            1.8       1.3478569  -2.1684043e-19               0
            1.9       1.3564123  -2.1684043e-19               0
              2       1.3643207               0               0
            2.1       1.3716441        -2.5e-11               0
            2.2       1.3784349  -2.5000003e-11               0
            2.3       1.3847383        -2.5e-11               0
            2.4       1.3905935  -2.4999998e-11               0
            2.5       1.3960357  -4.5536491e-18               0
            2.6       1.4010964   2.2768246e-18               0
            2.7       1.4058041   1.8431437e-18               0
            2.8       1.4101847  -1.0842022e-19               0
            2.9       1.4142622  -1.7347235e-18               0
              3       1.4180584   1.7347235e-18               0
            3.1       1.4215935        -2.5e-11               0
            3.2       1.4248862        -2.5e-11               0
            3.3       1.4279536        -2.5e-11               0
            3.4       1.4308116  -2.5000001e-11               0
            3.5        1.433475   2.3310347e-18               0
            3.6       1.4359576  -1.1384123e-18               0
            3.7       1.4382717        -2.5e-11               0
            3.8       1.4404292  -4.9999999e-11               0
            3.9        1.442441  -5.0000003e-11               0
              4        1.444317  -2.4999998e-11               0
            4.1       1.4460667   1.5720932e-18               0
            4.2       1.4476987   4.9999986e-12               0
            4.3       1.4492211   2.4999975e-12               0
            4.4       1.4506414  -7.4999974e-12               0
            4.5       1.4519665         2.5e-12               0
            4.6       1.4532029   1.9999999e-11               0
            4.7       1.4543567   2.0000001e-11               0
            4.8       1.4554334   7.5000009e-12               0
            4.9       1.4564382   9.9999991e-12               0
              5        1.457376        4.25e-11               0
            5.1       1.4582513   4.7500001e-11               0
            5.2       1.4590684  -4.2500001e-11               0
            5.3       1.4598311      -1.425e-10               0
            5.4       1.4605431       -4.75e-11               0
            5.5       1.4612077       2.325e-10               0
            5.6       1.4618282        2.85e-10               0
            5.7       1.4624075        -1.9e-10               0
            5.8       1.4629484       -7.25e-10               0
            5.9       1.4634535        -4.1e-10               0
              6        1.463925       7.775e-10               0
            6.1       1.4643652      1.3175e-09               0
            6.2       1.4647764        -7.5e-11               0
            6.3       1.4651603     -2.1175e-09               0
            6.4       1.4655187     -1.8075e-09               0
            6.5       1.4658535       1.475e-09               0
            6.6       1.4661661        3.86e-09               0
            6.7        1.466458      1.3625e-09               0
            6.8       1.4667307       -3.99e-09               0
            6.9       1.4669853     -5.1475e-09               0
              7        1.467223         8.9e-10               0
            7.1       1.4674451       7.305e-09               0
            7.2       1.4676524      5.0475e-09               0
            7.3       1.4678462     -4.7075e-09               0
            7.4       1.4680271          -1e-08               0
            7.5        1.468196      -2.858e-09               0
            7.6       1.4683538      8.8585e-09               0
            7.7       1.4685012     1.00085e-08               0
            7.8       1.4686389    -2.14275e-09               0
            7.9       1.4687674    -1.27705e-08               0
              8       1.4688875      -7.899e-09               0
            8.1       1.4689996     7.12125e-09               0
            8.2       1.4691044    1.367325e-08               0
            8.3       1.4692023     3.45475e-09               0
            8.4       1.4692936     -1.0636e-08               0
            8.5        1.469379   -1.109025e-08               0
            8.6       1.4694586     2.04075e-09               0
            8.7       1.4695332    1.202225e-08               0
            8.8       1.4696027       7.223e-09               0
            8.9       1.4696678    -5.15425e-09               0
              9       1.4697283    -9.78875e-09               0
            9.1       1.4697852    -2.44775e-09               0
            9.2       1.4698378     6.52175e-09               0
            9.3       1.4698878     6.65975e-09               0
            9.4       1.4699333       -3.81e-10               0
            9.5       1.4699773    -5.40775e-09               0
            9.6       1.4700164    -3.90125e-09               0
            9.7       1.4700557      6.0875e-10               0
            9.8       1.4700888     2.38675e-09               0
            9.9       1.4701248     1.05075e-09               0
