#             y             U_x             U_y             U_z
           -0.5               0               0               0
           -0.4      0.52983486   2.1281015e-05               0
           -0.3      0.94160791   5.7718455e-05               0
           -0.2       1.2353006   7.9660081e-05               0
           -0.1       1.4111848   5.9241972e-05               0
              0       1.4697316   -1.710175e-08               0
            0.1       1.4111848  -5.9257057e-05               0
            0.2       1.2353006  -7.9641949e-05               0
            0.3      0.94160791  -5.7693719e-05               0
            0.4      0.52983486  -2.1272447e-05               0
            0.5               0               0               0
